Country,Continent,Subregion
Afghanistan,Asia,Southern Asia
Albania,Europe,Southern Europe
Algeria,Africa,Northern Africa
Angola,Africa,Middle Africa
Antigua and Barbuda,North America,Caribbean
Argentina,South America,South America
Armenia,Asia,Western Asia
Australia,Oceania,Australia and New Zealand
Austria,Europe,Western Europe
Azerbaijan,Asia,Western Asia
Bahamas,North America,Caribbean
Bahrain,Asia,Western Asia
Bangladesh,Asia,Southern Asia
Barbados,North America,Caribbean
Belarus,Europe,Eastern Europe
Belgium,Europe,Western Europe
Belize,North America,Central America
Benin,Africa,Western Africa
Bhutan,Asia,Southern Asia
Bolivia (Plurinational State of),South America,South America
Bosnia and Herzegovina,Europe,Southern Europe
Botswana,Africa,Southern Africa
Brazil,South America,South America
Brunei Darussalam,Asia,South-eastern Asia
Bulgaria,Europe,Eastern Europe
Burkina Faso,Africa,Western Africa
Burundi,Africa,Eastern Africa
Côte d'Ivoire,Africa,Western Africa
Cabo Verde,Africa,Western Africa
Cambodia,Asia,South-eastern Asia
Cameroon,Africa,Middle Africa
Canada,North America,Northern America
Central African Republic,Africa,Middle Africa
Chad,Africa,Middle Africa
Chile,South America,South America
China,Asia,Eastern Asia
Colombia,South America,South America
Comoros,Africa,Eastern Africa
Congo,Africa,Middle Africa
Cook Islands,Oceania,Polynesia
Costa Rica,North America,Central America
Croatia,Europe,Southern Europe
Cuba,North America,Caribbean
Cyprus,Asia,Western Asia
Czechia,Europe,Eastern Europe
Democratic People's Republic of Korea,Asia,Eastern Asia
Democratic Republic of the Congo,Africa,Middle Africa
Denmark,Europe,Northern Europe
Djibouti,Africa,Eastern Africa
Dominica,North America,Caribbean
Dominican Republic,North America,Caribbean
Ecuador,South America,South America
Egypt,Africa,Northern Africa
El Salvador,North America,Central America
Equatorial Guinea,Africa,Middle Africa
Eritrea,Africa,Eastern Africa
Estonia,Europe,Northern Europe
Ethiopia,Africa,Eastern Africa
Fiji,Oceania,Melanesia
Finland,Europe,Northern Europe
France,Europe,Western Europe
Gabon,Africa,Middle Africa
Gambia,Africa,Western Africa
Georgia,Asia,Western Asia
Germany,Europe,Western Europe
Ghana,Africa,Western Africa
Greece,Europe,Southern Europe
Grenada,North America,Caribbean
Guatemala,North America,Central America
Guinea,Africa,Western Africa
Guinea-Bissau,Africa,Western Africa
Guyana,South America,South America
Haiti,North America,Caribbean
Honduras,North America,Central America
Hungary,Europe,Eastern Europe
Iceland,Europe,Northern Europe
India,Asia,Southern Asia
Indonesia,Asia,South-eastern Asia
Iran (Islamic Republic of),Asia,Southern Asia
Iraq,Asia,Western Asia
Ireland,Europe,Northern Europe
Israel,Asia,Western Asia
Italy,Europe,Southern Europe
Jamaica,North America,Caribbean
Japan,Asia,Eastern Asia
Jordan,Asia,Western Asia
Kazakhstan,Asia,Central Asia
Kenya,Africa,Eastern Africa
Kiribati,Oceania,Micronesia
Kuwait,Asia,Western Asia
Kyrgyzstan,Asia,Central Asia
Lao People's Democratic Republic,Asia,South-eastern Asia
Latvia,Europe,Northern Europe
Lebanon,Asia,Western Asia
Lesotho,Africa,Southern Africa
Liberia,Africa,Western Africa
Libya,Africa,Northern Africa
Lithuania,Europe,Northern Europe
Luxembourg,Europe,Western Europe
Madagascar,Africa,Eastern Africa
Malawi,Africa,Eastern Africa
Malaysia,Asia,South-eastern Asia
Maldives,Asia,Southern Asia
Mali,Africa,Western Africa
Malta,Europe,Southern Europe
Marshall Islands,Oceania,Micronesia
Mauritania,Africa,Western Africa
Mauritius,Africa,Eastern Africa
Mexico,North America,Central America
Micronesia (Federated States of),Oceania,Micronesia
Monaco,Europe,Western Europe
Mongolia,Asia,Eastern Asia
Montenegro,Europe,Southern Europe
Morocco,Africa,Northern Africa
Mozambique,Africa,Eastern Africa
Myanmar,Asia,South-eastern Asia
Namibia,Africa,Southern Africa
Nauru,Oceania,Micronesia
Nepal,Asia,Southern Asia
Netherlands,Europe,Western Europe
New Zealand,Oceania,Australia and New Zealand
Nicaragua,North America,Central America
Niger,Africa,Western Africa
Nigeria,Africa,Western Africa
Niue,Oceania,Polynesia
Norway,Europe,Northern Europe
Oman,Asia,Western Asia
Pakistan,Asia,Southern Asia
Palau,Oceania,Micronesia
Panama,North America,Central America
Papua New Guinea,Oceania,Melanesia
Paraguay,South America,South America
Peru,South America,South America
Philippines,Asia,South-eastern Asia
Poland,Europe,Eastern Europe
Portugal,Europe,Southern Europe
Qatar,Asia,Western Asia
Republic of Korea,Asia,Eastern Asia
Republic of Moldova,Europe,Eastern Europe
Romania,Europe,Eastern Europe
Russian Federation,Europe,Eastern Europe
Rwanda,Africa,Eastern Africa
Saint Kitts and Nevis,North America,Caribbean
Saint Lucia,North America,Caribbean
Saint Vincent and the Grenadines,North America,Caribbean
Samoa,Oceania,Polynesia
San Marino,Europe,Southern Europe
Sao Tome and Principe,Africa,Middle Africa
Saudi Arabia,Asia,Western Asia
Senegal,Africa,Western Africa
Serbia,Europe,Southern Europe
Seychelles,Africa,Eastern Africa
Sierra Leone,Africa,Western Africa
Singapore,Asia,South-eastern Asia
Slovakia,Europe,Eastern Europe
Slovenia,Europe,Southern Europe
Solomon Islands,Oceania,Melanesia
Somalia,Africa,Eastern Africa
South Africa,Africa,Southern Africa
South Sudan,Africa,Eastern Africa
Spain,Europe,Southern Europe
Sri Lanka,Asia,Southern Asia
Sudan,Africa,Northern Africa
Suriname,South America,South America
Swaziland,Africa,Southern Africa
Sweden,Europe,Northern Europe
Switzerland,Europe,Western Europe
Syrian Arab Republic,Asia,Western Asia
Tajikistan,Asia,Central Asia
Thailand,Asia,South-eastern Asia
The former Yugoslav republic of Macedonia,Europe,The former Yugoslav republic of Macedonia
Timor-Leste,Asia,South-eastern Asia
Togo,Africa,Western Africa
Tonga,Oceania,Polynesia
Trinidad and Tobago,North America,Caribbean
Tunisia,Africa,Northern Africa
Turkey,Asia,Western Asia
Turkmenistan,Asia,Central Asia
Tuvalu,Oceania,Polynesia
Uganda,Africa,Eastern Africa
Ukraine,Europe,Eastern Europe
United Arab Emirates,Asia,Western Asia
United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe
United Republic of Tanzania,Africa,Eastern Africa
United States of America,North America,Northern America
Uruguay,South America,South America
Uzbekistan,Asia,Central Asia
Vanuatu,Oceania,Melanesia
Venezuela (Bolivarian Republic of),South America,South America
Viet Nam,Asia,South-eastern Asia
Yemen,Asia,Western Asia
Zambia,Africa,Eastern Africa
Zimbabwe,Africa,Eastern Africa
